Reviews,stars
"Have eaten here many times but for some reason this visit the service was fair. Waiters standing around and had to ask several times for bread, beverages, and coffee. Seems as though no one wanted to take responsibility in serving.",5
The food is as authentically Italian.  The server was efficient  and friendly.,5
Food was very good  service was great ,3
would recommend,5
The dining space was great. With an ambiance I did not expect. The dining staff were efficient and marked into the background however they were available at a glance. ,5
"The bar was cozy, well stocked and on this particular night populated  by a crowd of characters. ",5
I can't wait to return.,5
"Easy pre-theater. Northern Italian, not fancy but fast and consistent. For midtown it is a good choice for a quick business lunch with colleagues or a pre-theater meal.",5
Frequently eat here. Food is great! Service was good. Sometimes we get the same waiter.,5
Consistently delicious food. We were a party of four this time. We all ordered different entrees.  All of us extremely pleased with our selections. The service is impeccable. Wait staff and bar staff very friendly and courteous. The ambiance is very inviting.,5
Great food and service and 5 minute walk to Rockettes!,5
We had a reservation and were seated right away. Plenty of staff. Our waiter was very good. The food was mediocre. Tasted like everything came from a can.,5
After reading the reviews we were looking forward to a delicious dinner. The  overall service was deplorable. The waiter was rude to the point we almost left. This is the first time I have left a review but the experience was beyond disappointing and the food is mediocre at best.,5
Loved it a lot,5
We came Christmas Eve. Food was good and service was paced just right.,5
"Initial service was quick.  Waiter kept pishing us to order.  Appetizers came very quickly as did the main course, then service slowed.  Never offered a second drink during entire visit.  Food tasty, but not exceptional.  Convenient to theater district.",3
"As a Family of five staying in midtown, this was an an easy, casual dinner option. We booked ahead which means we didn’t need to wait ages for a table. No kids menu but ordered the tortellini soup which kids enjoyed. Chicken Fancese was ok, too lemony but not bad. Enjoyed the cozy atmosphere, comfortable seating and wine! Server was a bit gruff (stereotypical New York “attitude”) but we were so tired and hungry we didn’t care.",4
Christmas celebration,3
Excellent food. Everybody (15 persons) enjoyed their evening.,4
We had a reservation and got seated immediately even though the restaurant was packed because it was a Saturday night ten days before Christmas. The ambiance was wonderful and the food was absolutely delicious. I had the shrimp scampi and it was the best that I have ever had!!!,4
"We made reservations and arrived early. The hostess seated us within 3 minutes of arriving.  I asked the waiter is the fried calamari good, bc I’m very picky about my calamari. He said it was very good... and it was !  I also wanted to order the linguine frutta Di mare, again I asked, is it good. He replied excellent, and it was. I like my pasta a bit more al dente, and the large shrimp that came w the dish were a bit over cooked but overall the dish was very good and very tasty !! I would def go back !",5
Excellent choice for dinner. Had had the spaghetti with red clam sauce.....it was out of this world. I WOULD definitely go back!!,5
The service was great.  The waiters were attentive and very friendly.  But the food was just ok.  My husband and I had the salmon served over a chick pea salad which did not include any pasta and it was very good.  My kids had shrimp scampi and pasta with meatballs and they were just ok.  Ironic that the dishes without any pasta were the best ones.,5
Staff was wonderful. Waiter so attentive.  Great variety of food to choose from price wise which when with a group is great.  Pasta was delicious,5
We were able to dine on a Friday evening and not feel rushed! The food was delicious!,5
What a find!!! Just happened upon this restaurant and EVERYTHING was GREAT....,5
Our reservation was for 1PM and we were graciously seated at 1:01!!! WOW...,5
"I had the best chicken parm sandwich, my friend had the chicken francese that she described as scrumptious. My other friends had soup and salad that was REALLY GOOD...",4
The servers were so polite that I told the gentleman at the front door that the guys werE unbelievable...,4
JUST A FANTASTIC EXPERIENCE...THANX!!!!!,4
We WILL be back..........................................,4
"The food was delicious and the atmosphere was nice.  Unfortunately,  the wait staff was not the best.  I had no clue who my waiter.  I wasn’t greeted, and I was shuffled between two people.",2
Great food fast friendly service nice selection reasonably priced,3
"Everything we ordered was delicious: margarita pizza for appetizer was perfect! The fettuccini Alfredo w/chicken, peppers & peas - great flavors. My husband ordered the chicken Parmesan which was tasty too but he liked my fettuccini better ;) Our waiter was very attentive without rushing us - which is important to me. The Holiday music, the decorations, delicious meal, great service, great meal!",4
I go here whenever i visit the city. I love it...wait staff is as awesome as the food.,3
Week break in New York.... wanted different places to eat.  Found this place by accident when we cut down a street but ended up going back twice as the food was good and a reasonable price.,3
"The waiter basically ignored us and the order that he finally brought out was incorrect. He took forever to give us even a glass of water.  I remembered being in the restaurant previously and had a great experience, but not so much this time.  There are other restaurants in the  area to chose from next year.",1
If the three meals my chicken parmigiana was the best.  The pizza was good just not at that price.  Wine was good. Desert and coffee great,1
