Reviews,stars
Prix fix dinner before a play. Just delicious!! Space beautiful and a bit on the more formal side. Overall a delicious meal!!,5
Absolutey Amazing!!!!,5
"I went solo for lunch during Restaurant Week. I ordered the octopus appetizer and the grilled sea bream. The octopus was perfectly cooked; the texture was soft, and the char from the grill added a nice touch. It was complemented by the fava bean purée and a drizzle of olive oil. The sea bream was so fresh; it was simply cooked on the grill, highlighting the taste of the fish. I also loved the grilled bread and the freshly-snipped  oregano in the olive oil. I wish I could have eaten more slices! I found the overall ambience of the restaurant classy and peaceful. A very pleasant dining experience!",5
I booked a table right through the restaurant week section of your site. When I got there and we finally sat down I asked for the restaurant week menu. At first they told me they don’t Do restaurant week. And they send someone else over and they tell me they only do it for lunch. Very disappointed in being lied to. Please get back to me at 917-533-4800. You can easily see I booked it pushing on that restaurant week category.,4
All of the waiters are so accommodating - the food is absolute perfection - my favorite restaurant in nyc,5
"Great food, great restaurant - could be a little pricey but great overall.",5
I love the food so much!! The restaurant is nice and the staffs are helpful!,5
Granddaughter’s Birthday and Theatre evening. Everything from food to service was outstanding.,5
"I had a wonderful time. The food was delicious, the service and the ambience great.",5
My daughter and I celebrate our birthdays at Milos,5
every year.  We love this restaurant!,5
Ecellent experience as usual.,5
"I have been to Milos several times and although  pricey, the food is outstanding.  The fish is as fresh as could be with a large assortment from which to choose and the meat dishes are just as tasty.  don't miss the grill octopus appetizer and the Greek Salad!",5
Best seafood experience ever.  Highly attentive staff.  Only go if you ready to be impressed (and have the means to pay for it). ,5
Will definitely be back.,3
"The food and service was exception!  We had Grilled Octopus, a Whole Dorado and assorted desserts.",5
We has a reservation at 9 pm and they ended giving is the table around 9 30,2
"Excellent!! Stephanie was a fabulous server, nice, outgoing and very professional !! We will be back",4
I wanted to try this place for restaurant week lunch since they’re seafood based. We ordered the calamari and grilled octopus which was fresh and delicious but then we had to wait about 40 min for our entrees and mine was cold since I ordered the grilled veggies. The waiter said they were supposed to be served at room temp but it just didn’t make sense to me. I wouldn’t cross this off my list entirely but definitely wouldn’t order the veggies again and make sure you’re not in a rush.,5
"God is excellent, but the over attentive servers need to learn barriers.  They interrupted our conversation every 1 to 4 minuted.",5
Wonderful experience. Service was exceptional. Food was marvelous. Very diverse wine selection.,5
"Lovely lunch at Milos--great service, interesting and quality food.  Attention to needs.  Portions very nice.  We had a relaxed lunch and did not feel rushed.  Everyone was very gracious--will dine again at Milos.  Had pre-fix lunch--very good selection",5
It is our second time there and was outstanding again. It is our favorite steak house,5
The service and food were impeccable.,5
Great steak,5
"We had a fantastic time at Gallagher’s with our group of 4 on Wednesday for lunch. The food was delicious, service top notch and the ambiance couldn’t have been nicer.  We can’t wait for our next trip to the City to enjoy a wonderful not hurried lunch at your steakhouse.  Try the prix fixe for lunch!  You won’t regret it.   The steak is so tender you won’t need the knife!  Go and indulge!",5
This place used to be our favourite restaurant in the world but boy has it gone downhill.,2
"First of all, this was the third time that we have been told that the restaurant has sold out of Prime Rib. We got there at 7.30. How is that possible? Did they just not bother to prepare any?",5
"Second, the 'tomato and onion salad' was a joke. The onion was a massive white onion cut into thirds and served with nothing. The tomato likewise. $12 I think.",4
"Also, the gruff and curt serving staff thing use to work when they seemed to care about the place and the job and had a line in banter and fun but now they just seem gruff, curt, bored and rude.",5
Wont be back. Such a shame.,4
"Absolutely 5 star. We dined here for our last night in New York and this was by far the best evening we had. Fantastic food, great wine, service was Superb (thanks to Jim, best waiter in NYC!). Would highly recommend, must book as very popular!",5
There's no need to remind me that tipping is not included in the bill.  I know how tipping works.,5
Food was great and service top notch our waiter was a pro !,5
I took my wife for dinner before a show. The service was top notch. The wait staff was very attentive and knowledgeable.,4
Excellent selection of  well prepared food served by superior wait staff,5
"Amazing food, service, experience. Everything we could have asked for. They were great!!!",5
"Absolutely loved this place, everything was just perfect. Will definitely be returning.",5
"The experience was very nice.. late lunch with my sister who never really goes out to eat.. she was very impressed , myself not so much.. however I must say the service was excellent.. my lamp chop was a bit under done for my liking but they tasted great.. their lentils soup needed much to be desired but the nyc cheese cake is really the best I have ever eaten anywhere..  There are really a mature steakhouse and one really gets that feel",4
The meat was cooked perfectly. The key lime pie was very good. I can go back there just for the pie!,5
I am in NYC for business and I had a diner with my boss. ,5
It was the first time for me in your Restaurant and I had the best tuna steak of my life!!!,3
I really enjoyed the experience.,5
Only one word describes our experience. KILLER!,5
Amazing French onion soup! Everything else ok.,5
Not the steak I was expecting.,4
"We love Gallagher's and make a reservation whenever we feel like a great steak and wine. We have tried many steakhouses across the city and we keep going back here. The wines by the glass, or bottle are delicious. The burrata and roasted peppers is a flavor bomb in your mouth. My husband gets the ribeye and I get the NY strip (bone out) both medium rare, and its perfection every time. Creamed spinach or fries or brussel sprouts (have them add bacon if you dare) and your meal is complete. But not as complete if you have space for the key lime pie. Take your time and enjoy the experience.",5
Went there for Groupon lunch on Sunday. Paid extra $10 for 10 oz filet mignon and did not regret a second. Manhattan clam chowder which was soup of the day was also excellent. We were so full that had to take our desserts (New York cheesecake and key lime pie) home,4
"So the service was ok, but based on the the reviews we had much higher expectations for the food and the options offered.. Caesar salad was poorly made, steak was good, burger was ok.. I didn’t like the short rib with the sauce on top, the server was nice and changed it for the steak .. overall the place is nice but just like any other steakhouse, just didn’t feel there is any uniqueness to it",5
"We loved it. The service was spot on, the food was great, the wine selection was awesome. I would highly recommend this place and am already trying to figure out when's the next time I'll go. The meat was aged and cooked to perfection, was tender and moist, just the way it should be. The sides were flavorful and accompanied the mains well, and were in a good portion (not too big).",5
Decor was great.  Got seated right away despite being 10 min late to reservation.  Server was very attentive and the food was delicious.,5
"The food was amazing, the staff were really friendly",5
It was my second visit and better than the first.  My friends had the porterhouse for two and I had the boneless sirloin.  Very good!  Sides were also very good (mashed and creamed spinach).  They have an above average wine list with numerous bottles under $100.  I ordered a 2014 Gallina Barbera d'Alba (under a 100% mark-up!).  Service is solid as you would expect from the tenured staff.  You will not be disappointed with the place.,5
"My husband and I recently visited New York for a weekend and stumbled across Gallaghers Steakhouse. I'm so glad we did. My husband had the ribeye and I had the bone marrow filet. It was absolutely delicious, probably the best meat I've had. The sides are very large and sharable. It is pricey, but no regrets. You are getting great quality for your money. The next time we are in the city, we will definitely be visiting again!",5
Food and general service were good but we let our server know we had theater tickets and only had 90 minutes. The salads/appetizers were a little slow to be served and our entree’s didn’t show up until 15 minutes befor we need to depart  making it difficult to enjoy our meals. We neede to remind our waiter more than once.,5
John O,4
This was our second visit and Gallaghers did not disappoint. We will be back again soon.,4
The porterhouse for 2 is amazing! Best  onion rings hands down and I never use steak sauce but I wanted to drink it it was so good.,5
By far the best dining experience in New York. The best Porterhouse steak I have enjoyed! Well done and thanks to the team to make this a memorable evening!,5
Food was amazing!! Came here for restaurant week but quickly found out they do not participate during dinner time. It would have been nice to know that beforehand but the food was spectacular.,5
I have  dined here several times and always found the food delicious  and well prepared and beautifully presented. I  always  recommend  Milos to my friends and family . I also find the wait staff very attentive.,4
Food is always excellent and they have the most amazing wait staff.  Their fresh fish is as fresh as it comes,5
We went for NYC Winter Restaurant Week. Place is very pleasant but a little noisy at lunch time. Restaurant Week Menu Selection was very good ; the quality was there and main courses had been prepared with care. The service was efficient and professional.  We will go back.,5
Must visit when in NYC. Excellent food and service,5
"Estiatorio Milos, for most people, is a place to go to for special occasions. Fresh fish flown in from the Mediterranean will never be cheap, and those offered in this restaurant are as pricey as they are choice and impeccable. ",5
"For my birthday, I had a hankering for fish simply grilled with olive oil with a touch of lemon juice. Having dined at Milos before, I knew this was the place to go for it. ",5
"Though we now live in Philadelphia, my husband and I were in NYC for a recital at Carnegie's Zankel Hall, so Milos was very conveniently just around the corner. We arrived for our 6 p.m. reservations and were seated promptly (and without at quibble, though we reserved for three but ""lost"" our guest due to personal circumstances). ",5
"We had the mushroom appetizer---six kinds of mushrooms lightly grilled with a touch of salt---each kind retaining its character and taste---king oyster, shiitake and maitake were among the offerings. Per custom, we chose our fish from the day's catch at ""fish market;"" my choice was a ""Fagri"" a firm fleshed, well-flavored variety. It was served grilled  to perfection and deboned, with a scattering of capers and salt and a hint of herbs. Heaven! The only accompaniment we had was handcut French fries---greaseless and delicious.",5
"When people are having a good time, the joy spills to others, and we fell into conversation with the couple at the next table. It turned out they were also celebrating the wife's birthday so we exchanged greetings between contented sighs with each forkful of food. They had just returned from Mykonos, and friends there had suggested Milos!",3
