Reviews,stars
" This is an amazing restaurant. Everything is so prefect. Every dish was just so delicious. If I can rate more than 5 points, I would. Must go place ",5
" As always, Gramercy Tavern does not disappoint! The tasting menu was superb, the wines delicious and the service on point. ",5
 Amazing! Loved the food and the staff. Loved the atmosphere. Love the low-key chill vibe. Lots of beautiful people there. ,5
 Had a phenomenal experience here. Service and food are fantastic ,5
 Outstanding. ,5
" We went in blind and sort of missed the $195 set menu plus tax and plus service thing. It left a rather giant lump in the throat the days leading to the meal but it disappeared once we entered the door off Extra St (so extra). This place could have been the most pretentious place in Manhattan, however the staff feel relaxed, punky music plays as you sit down in the most comfortable seats known to the human behind. The chefs, all smiling before you are busy preparing you insane delights. Ko's site said 12-15 dishes, maybe we were just lucky but we got 19 dishes including a little secret something to take away. We were politely full by the end. Not too much, not too little. Go for the earliest slot possible else you might have your entire meal ruined by seeing other people's meals sitting across from you.  It was expensive as hell, but you know what, every penny was worth it. ",5
" The food was extraordinary.  Thea, our server, our server was delightful and friendly.  When we arrived at 6:15, the dining room was quiet and intimate but became louder as the night went on.  The ambiance was warm and inviting.  We were celebrating our 20th anniversary and the experience was better than expected. ",5
" Gramercy Tavern is a must do dining experience. One of USHG’s Crown Jewels expectations were high. Generally they lived up to them. Service was a little slow to start. They took a drink order right away but it took a little to long for our server to get to us with the menus. Once he did though all was well. The pace, after the slow start, was perfect. Service was impeccable.   The food (tasting menu) ranged from excellent to transcendent, save for the dessert, which was just okay. We enjoyed both tasting menus, allowing us to sample twelve different dishes. So glad we did. Chef Anthony’s vegetable tasting menu is not to be missed. He treats vegetables as a star, not as an obligation to fill the needs of vegetarians.    About note on the dessert course. The beet sorbet, served as a prelude to the listed dessert course, was far superior to our two desserts. Mind you, they were quite delicious, but underwhelming when compared to all of the other amazing flavors we were served.  The beet sorbet and pumpkin spiced truffle saved the dessert course  All in all it was a spectacular dinner and we would, without hesitation, return. ",5
" My wife and I were celebrating our 2nd wedding anniversary.  We elected to have the tasting menu, and I had the wine pairing.  The food was good, but the service was lacking.  The paired wine was often poured 15+ minutes before the paired dish.  Things completely fell apart with dessert.  We waited over an hour for our dessert to show up.  When it did (poached pear with ice cream) the pear was cold.  And the table directly next to us, received their dessert before we did, even though we had been waiting longer.  Disappointing service from a restaurant known as a high-end institution in New York City.  We were offered a small discount on our check, but for a $470+ meal, I expected much better. ",2
 We were served 4 exceptional meals! Special treats before and after our meals were a surprise and wonderful. ,5
 The food is fantastic and the restaurant is beautiful.  Highly recommended. ,4
" As close to perfection as it gets!  Gramercy Tavern provided us with a perfect lunch, service and professionalism!  Great choices, and gluten free! ",5
" Excellent dinner with attentive service.  Wonderful, comfortable atmosphere.  Looking forward to a return visit soon. ",5
