Reviews,stars,name,location
We always enjoy eating there with friends. It’s particularly good for relaxed conversation over good food.,5,HerbertS,New York Area
"It's our favorite go to place. Nice atmosphere, a good place to talk with friends and enjoy a good meal.",5,HerbertS,New York Area
"Exceeded my expectations. Sophisticated, quiet. Waitstaff, food quality, ambience were perfect. Can’t wait to go back!",4,OpenTable Diner,Las Vegas
"Great chic downtown spot especially for lunch. Super cool design with elaborate artwork and the most divine green velvet chairs. Server was very friendly, every dish was superb &amp;  with nice selection of wines.  Don’t skip the  Fred Pressman salad.",5,ktcalla,New York Area
"A hidden gem I discovered on Open Table.  The food and service, in particular, were outstanding.",5,OpenTable Diner,Washington DC
Incredible like always,5,OpenTable Diner,New York Area
"My go to place.  The best.  Such amazing, friendly staff — everyone’s like family!",5,OpenTable Diner,New York Area
"Two things that stand out: food and service. Ambiance is not offensive, rather bland, neutral, does make one feel being in a store, sort of. Having said that, the noise level is low, so it's great for conversation and that's a good thing, one can focus on the food, and one's company.  The food is actually quite good, tasty, but above all, abundant! The portions are huge! Who would have thought, at Barney's! And the service is exemplary, friendly, attentive, but not intrusive. Great for lunch or brunch!",4,gourmand,New York Area
Always a great time here,5,OpenTable Diner,New York Area
We wanted to order everything on the menu but we decided on the pizza a salad French fries and pasta and all was delicious! The bloody Mary’s were a bonus to our meal!,5,Deaglo,New York Area
"The food and service were truly outstanding; location is great for meeting.  I had a business lunch and was pleased with the atmosphere (although a bit commercial), but notable was both the food and service.",4,honeydoc624,New York Area
"Barneys has returned to Chelsea, and Fred's is operating a restaurant up on the third floor corner with attractive windows overlooking the corner of Sixteenth Street and Seventh Avenue.  Food and service are both quite good.  Prices are in line with New York City.  The room is attractive.  Since both the store and the restaurant are relatively new, it was relatively empty.  The result was a quiet room in which one could conduct a civilized conversation.  Will this last?  Hard to say.",4,NYGeek,New York Area
Chef was fabulous!!!,5,enjoyneworleans,Washington DC
Great staff - very friendly - food wonderful - really nice drinks - we always enjoy our visits to Freds at 7th ave,5,OpenTable Diner,New York Area
Love the Sunday brunch relaxing vibe!,5,Monk,Miami
"A really nice experience - why, because the food and service were great and you could actually have a conversation!  Really nice vibrant paintings on the wall so it gave a nice artsy feel. Service was excellent too. Loved the zucchini chips and the salmon was quite good too.",4,OpenTable Diner,New York Area
The ambience is lovely. Service was excellent! Lunch is always a treat.  A bit pricy but portions are large. Food is yummy and presented well. Loved the room. Very fitting for a restaurant at Barney's.,4,NZ2247,New York Area
"Foremost the entire staff is very upbeat, pleasant &amp; responsive to all requests. I even left my sweater &amp; received a lovely phone call stating my sweater would be held for me! Thank you!!!  I dined for restaurant week lunch &amp; loved it so I came back for dinner &amp; was disappointed a the menu choices were fewer &amp; the portions smaller.",3,OpenTable Diner,New York Area
Outstanding service! Restaurant week is on their menu and the value is terrific,5,OpenTable Diner,Birmingham
"I went to Freds at Barneys for restaurant week for an early dinner.  Usually I have lower expectations for any restaurant during restaurant week, but Freds was great! My friend and I both started with the avocado toast which was excellent. I had the chef's special which was a roasted salmon and my friend had the homemade spaghetti. Both were very good. The vegetables that came with the salmon were perfectly done and very tasty. We had sorbet and tiramasu for dessert--they were delicious as well. Our server, Jimmy was very kind and entertaining. He had excellent wine pairing recommendations as well.  We were a little under-dressed for the restaurant, but nobody made us feel like that was the case.",5,mountainhigh,Denver
A stellar addition to the Chelsea restaurant landscape.  Beautifully designed.,5,OpenTable Diner,New York Area
Service great Food great You can hear yourself even when busy,5,OpenTable Diner,New York Area
"Fred's at Barney's is a hidden gem in Chelsea. Tucked away in a corner of the third floor, it offers a stylish bar and slick upbeat ambiance featuring velvet banquettes and chairs. The menu is diverse and appealing. Service is excellent, with the wait staff knowledgeable and engaging. Happy hour specials feature Fred's signature thick hand cut fries. For a special treat and to people watch, hit their weekend brunch.",5,Markus,New York Area
Terrific food. Have eaten here many times. Very consistent.,5,StevieG,Los Angeles
Amazing food and service!,5,OpenTable Diner,New York Area
"very nice setting, very tasty, great service",5,localeater,New York Area
"Bright lights, boring dining room. Mediocre food. Posing host staff. A mural fit for a middle school. And a line for the bathroom. Checking this one off the list.",2,Pimienta,New York Area
"I was very pleasantly surprised that this was not just a pretty room.....and it certainly is that. The decor is beautiful, but the food was outstanding too!",5,DINETOEAT,New York Area
"Great restaurant and undiscovered gem in Chelsea!  Definitely worth trying for brunch or lunch, hip, stylish and great food.",5,OpenTable Diner,New York Area
There was food on the chair where I placed my purse and the restaurant will not take responsibility for ruining it,1,OpenTable Diner,Philadelphia
"Fred's never fails to deliver.  The entire staff is excellent and the food is prepared perfectly.  If you are alone or with a few people it is a great, comfortable and enjoyable atmosphere to have a great meal",5,Chris,New York Area
"This is one of my regular brunch choices.  The service was very good; as always.  However, the food this time was okay; but definitely not to the standard of the past.  The presentation was definitely less; and the food quality was easily two stars less.  Avocado toast is always amazing.",3,dcspike,Washington DC
Loved my dining experience at Fred's downtown. Everyone of the staff members  were an absolute delight. The menu is sumptuous. They have a delectable cheese bread  ( Made in House) which paired superbly with my freshly made soup.,5,OpenTable Diner,New York Area
"Great spot...not surprising. Everything was great but prices are very high, even for the caliber of restaurant and the Barneys setting.",5,GreatSpotNewCanaan,New York Area
"We often go to Fred's for brunch on the weekends.  Although it's a little pricey, the food and service are excellent so you get your money's worth.  The manager is very helpful and personable and the staff are professional and excellent.  The food is always great and it's a wide range.  Awesome salads, great eggs, wonderful salmon croquettes, famous pizzas and tasty mimosas.  Excellent desserts as well.  Good location in Chelsea - convenient to everything.",5,Chelsea123,New York Area
Always great here,5,OpenTable Diner,New York Area
"Very good restaurant located within the  new Downtown Barneys store.  Great design, tasty food/drinks and very nice staff.",4,MichaelJ,New York Area
Overpriced. Food is at most average,3,OpenTable Diner,New York Area
Service is great.,4,Foodies,New York Area
Way to expensive for the quality of food. The downtown Fred's needs to change their strategy as this is a different customer then Madison ave,3,JMicheal,Los Angeles
"was really excited to try l'artusi since i have heard great things - while the food was awesome, the noise level was earth-shaking (on a tuesday!). i could barely hear myself think, let alone hear the person across from me speak. was pretty disappointed as this was a special occasion. the atmosphere ruined what would have otherwise been a great experience.",2,clover,New York Area
Always great food!,5,OpenTable Diner,Las Vegas
This place is AMAZING!!!,5,OpenTable Diner,New York Area
